Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",0805,4,10uF,C15850
"C10, C11, C12, C14, C2, C6, C7, C8",0603,8,100nF,C14663
C9,0603,1,1uF,C15849
D1,0805,1,red,C84256
D3,0805,1,green,C2297
J1,"PhoenixContact_MC_1,5_6-G-3.81_1x06_P3.81mm_Horizontal",1,Conn_01x06,C387811
"J10, J7, J8, J9","PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",4,Conn_01x03,C8406
J2,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,Conn_01x02,C430323
J3,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C6332249
J4,PinHeader_1x03_P2.54mm_Vertical,1,DBG,C2937625
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2927038
M7,PinHeader_3x05_P2.54mm_Vertical,1,Servo_x5,C32713292
Q1,SOT-23,1,AO3400A,C20917
"R1, R12, R13, R18",0603,4,330,C23138
"R10, R11, R16",0603,3,0R,C21189
"R14, R5",0805,2,33k,C17633
R15,0805,1,150k,C17470
R19,0603,1,510R,C23193
"R2, R23, R3, R4",0805,4,330,C17630
R21,0603,1,33k,C4216
"R22, R9",0603,2,10k,C25804
R6,0805,1,220k,C17556
"R7, R8",0603,2,5k1,C23186
SW1,SW_SPST_TL3342,1,BOOT,C318884
SW2,SW_SPST_TL3342,1,RST,C318884
SW3,SW_SPST_TL3342,1,UP,C318884
SW4,SW_SPST_TL3342,1,DOWN,C318884
SW5,SW_SPST_TL3342,1,RANGE,C318884
"U1, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP4131-104E/SN,C636034
U2,SOT-223-3_TabPin2,1,AMS1117-33,C6186
U3,SOT-23-6,1,SRV05-4,C7420376
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003A,C7512
U6,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C2913206
U7,SMDIP-4_W9.53mm,1,LTV-817S,C106900 
