Designator,Mid X,Mid Y,Rotation,Layer
C1,122.2,-103.3,90.0,top
C10,168.4,-148.75,180.0,top
C11,158.8,-148.75,180.0,top
C12,116.1,-124.3,0.0,top
C14,126.0,-103.52,90.0,top
C2,143.55,-122.55,180.0,top
C3,124.2,-103.3,90.0,top
C4,144.59,-142.6,270.0,top
C5,149.8,-150.8,180.0,top
C6,174.5,-148.75,180.0,top
C7,117.475,-109.9,0.0,top
C8,167.2,-109.9,180.0,top
C9,147.1,-103.52,270.0,top
D1,169.27,-146.85,0.0,top
D3,169.27,-144.7,0.0,top
J1,178.0,-130.5,90.0,top
J10,102.0675,-151.135,270.0,top
J2,124.04,-157.9325,0.0,top
J3,158.25,-105.3,180.0,top
J4,175.2,-102.2,270.0,top
J6,140.0,-156.5,0.0,top
J7,102.0675,-108.755,270.0,top
J8,102.0675,-122.881666,270.0,top
J9,102.0675,-137.008332,270.0,top
M7,125.0,-147.25,270.0,top
Q1,159.0,-120.5,0.0,top
R1,150.5,-116.0,90.0,top
R10,155.2,-128.55,270.0,top
R11,150.3,-103.52,90.0,top
R12,165.825,-144.7,180.0,top
R13,165.825,-146.85,180.0,top
R14,159.77,-131.9525,0.0,top
R15,153.65,-132.6825,270.0,top
R16,153.65,-128.55,90.0,top
R18,162.3,-120.5,270.0,top
R19,145.2,-107.7,0.0,top
R2,162.5,-132.6825,90.0,top
R21,165.0,-116.0,270.0,top
R22,125.0,-107.7,0.0,top
R23,164.5,-132.6825,270.0,top
R3,158.5,-128.35,270.0,top
R4,164.5,-128.35,90.0,top
R5,162.5,-128.35,90.0,top
R6,160.5,-128.35,90.0,top
R7,135.41,-148.22,90.0,top
R8,144.59,-148.22,90.0,top
R9,148.7,-103.52,270.0,top
SW1,117.5,-104.75,270.0,top
SW2,167.2,-104.75,90.0,top
SW3,174.5,-153.85,90.0,top
SW4,168.4,-153.85,90.0,top
SW5,158.8,-153.9,90.0,top
U1,143.2,-126.55,270.0,top
U2,149.75,-145.3,270.0,top
U3,139.8,-148.1,180.0,top
U4,143.2,-132.1,270.0,top
U5,116.0,-130.5,90.0,top
U6,135.0,-106.0,0.0,top
U7,158.0,-116.0,0.0,top
